Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-438.6334	-594.8147	156.1812	2.818964	0.4326009	0.1220061	0.3211399
6	-438.9868	-594.5158	155.5289	2.809103	0.5134274	0.315938	0.3661682
12	-436.862	-592.8331	155.9711	2.63372	0.3809811	0.315938	0.4194869
18	-447.0089	-602.9435	155.9346	2.386391	0.9369972	0.1426218	0.5283951
24	-439.325	-595.378	156.0529	1.952418	0.9942756	0.06480018	1.251369
30	-435.7188	-593	157.2812	1.952418	0.3702357	0.06480018	0.9104399
36	-444.8237	-600.3655	155.5418	2.021975	0.9429852	0.07993554	1.578731
42	-446.9094	-602.44	155.5306	2.320227	0.9429852	0.07330237	1.385313
48	-446.8446	-602.3148	155.4701	1.929116	0.9429852	0.1803919	1.414858
54	-446.6973	-601.3219	154.6246	1.686895	1.350322	0.4087585	1.540713
60	-429.9331	-585.4908	155.5577	1.714253	0.8460925	0.3134899	1.319026
66	-439.1124	-594.7253	155.613	2.144295	1.347649	0.1901946	0.6400624
72	-436.0429	-592.3805	156.3376	2.027167	0.7929491	0.1570185	0.7076288
78	-442.2358	-598.124	155.8882	1.988821	0.9867269	0.2746304	0.5483788
84	-431.7033	-586.9349	155.2317	2.329069	1.33949	0.2746304	0.5483788
90	-432.8804	-587.7391	154.8587	2.395952	2.08451	0.1981714	0.4087664
96	-430.6816	-585.932	155.2504	2.533669	2.08451	0.0576439	0.3804563
102	-437.0395	-592.3615	155.322	2.278307	2.08451	0.1049267	0.5267435
108	-432.8939	-587.8277	154.9339	2.418488	2.08451	0.1729213	0.4911074
114	-433.7141	-588.4802	154.7661	2.658285	1.186808	0.3926958	0.4302527
120	-434.0309	-589.4988	155.4679	2.21198	1.186808	0.2649627	0.6494166
126	-428.6016	-585.5071	156.9055	1.891533	0.5113389	0.1379727	0.7466105
132	-430.0373	-586.4693	156.432	1.793853	0.5113389	0.1266699	1.349172
138	-438.9296	-595.3943	156.4648	1.903527	0.562503	0.1021426	1.247748
144	-444.0781	-599.0746	154.9965	1.970107	1.128786	0.1021426	1.804593
150	-445.2107	-600.6815	155.4709	1.637113	1.128786	0.2108339	1.428605
156	-447.0455	-602.5305	155.485	1.577303	0.7711072	0.2536943	1.652928
162	-445.0341	-600.9764	155.9423	1.593357	0.7711072	0.2536943	1.29372
168	-460.6992	-616.0846	155.3854	1.44722	0.4181935	0.3564167	2.009104
174	-465.5749	-620.9325	155.3576	1.627415	1.731808	0.04241405	1.663189
180	-451.3645	-606.9289	155.5644	1.710339	2.131858	0.0369392	1.279748
186	-457.077	-612.3196	155.2425	1.870558	2.355097	0.05247114	1.250794
192	-446.3752	-600.4432	154.068	1.713075	6.13958	0.03822098	1.352093
198	-443.6121	-597.6273	154.0152	1.662409	8.337695	0.02671473	1.095009
204	-436.9568	-590.8818	153.925	1.955213	8.576332	0.03229775	0.8102703
210	-420.1501	-574.668	154.5179	2.01182	5.832691	0.02356144	0.7502351
216	-427.6737	-582.2051	154.5314	2.069043	5.832691	0.02752182	0.5785842
222	-425.4254	-579.7202	154.2948	2.216127	5.832691	0.04684066	0.5785842
228	-424.9998	-579.4129	154.413	2.123003	5.832691	0.04279131	0.5581742
234	-437.0462	-591.2064	154.1601	2.338689	5.832691	0.04674332	0.398762
240	-436.642	-590.7713	154.1292	2.453295	5.832691	0.03431766	0.4840021
246	-442.8277	-596.8617	154.034	2.343618	6.831635	0.01774235	0.6168401
252	-447.5373	-601.5425	154.0052	2.356739	6.831635	0.02970753	0.5751441
258	-438.9355	-593.0941	154.1586	2.224384	6.831635	0.01719452	0.6008022
