Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	br_lengths[86]	br_lengths[87]	br_lengths[88]	br_lengths[89]	br_lengths[90]	br_lengths[91]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	rel_br_lengths[86]	rel_br_lengths[87]	rel_br_lengths[88]	rel_br_lengths[89]	rel_br_lengths[90]	rel_br_lengths[91]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-438.6334	-594.8147	156.1812	0.000432022	0.00438834	0.00213483	0.00240918	0.00115208	0.00417605	0.000198561	0.00355049	0.00445074	0.00181194	0.00177224	0.00333117	0.00796245	0.000982752	0.000196385	0.00965202	0.000862975	0.00164568	0.00194953	0.00341089	0.00558992	0.000349046	5.3502e-05	0.000970133	0.00458785	0.00509278	0.00645364	0.0016895	0.00144959	0.00520983	0.00101273	6.61509e-05	6.55092e-05	0.00543999	0.000863446	0.00232806	0.000581964	0.00124145	0.00190148	0.000266482	0.00358807	0.000783321	0.00420321	0.00514067	0.00741162	0.00254739	0.0136756	0.000139586	0.000271093	0.00164068	0.00510881	0.00127146	0.000152406	0.00618448	0.00110597	0.0037733	0.00436601	0.00476493	0.0174508	0.00317534	0.000397134	0.00152885	0.00252	0.00283803	0.000388159	0.00372923	0.00166947	0.000524214	0.00055802	0.00670014	8.89771e-05	0.00843405	0.00034682	0.00272959	0.00304779	0.00318823	0.00418402	0.00357343	0.000517188	0.0267827	0.00702073	8.03199e-05	0.0103273	0.0050677	0.00339185	0.0252244	0.00190712	0.000524231	0.00300607	0.000497786	0.00190819	0.745641	1.04343	1.396062	0.6039378	0.0202701	0.149365	0.552562	1.80975	6.69501	49.3338	2.818964	0.4326009	0.1220061	0.00134528	0.0136649	0.00664767	0.00750196	0.00358747	0.0130038	0.0006183	0.0110559	0.0138592	0.00564221	0.00551859	0.010373	0.0247943	0.0030602	0.000611526	0.0300555	0.00268722	0.00512449	0.00607066	0.0106212	0.0174065	0.0010869	0.0001666	0.00302091	0.0142861	0.0158584	0.020096	0.00526095	0.00451388	0.0162229	0.00315355	0.000205988	0.00020399	0.0169396	0.00268869	0.00724935	0.00181218	0.00386575	0.00592104	0.000829799	0.0111729	0.00243919	0.0130884	0.0160076	0.0230791	0.00793232	0.0425846	0.000434657	0.000844159	0.00510893	0.0159084	0.00395922	0.000474577	0.0192579	0.00344389	0.0117497	0.0135954	0.0148376	0.0543403	0.00988773	0.00123664	0.00476071	0.00784705	0.00883737	0.00120869	0.0116125	0.00519857	0.00163235	0.00173762	0.0208636	0.000277066	0.0262628	0.00107997	0.0084997	0.00949055	0.00992785	0.0130287	0.0111273	0.00161048	0.083399	0.0218619	0.000250109	0.0321581	0.0157804	0.0105619	0.0785463	0.00593861	0.00163241	0.00936062	0.00155006	0.00594193	0.301969	0.698031	0.3211399
36	-444.8237	-600.3655	155.5418	0.00029247	0.0380392	0.00291843	0.0166986	0.00791779	0.0142638	0.00304631	0.00761251	0.0456503	0.00995261	0.0010409	0.00501842	0.0224826	0.0190515	0.00530397	0.0841662	0.0106315	0.0129605	0.0115353	0.011949	0.0145126	0.0122007	0.00368143	0.00270385	0.00271457	0.0281124	0.0166124	0.00300764	0.0154296	0.00881911	0.0428565	0.0163309	0.0044248	0.0148809	0.0184716	0.0148479	0.0413888	0.00658108	0.000858607	0.00140634	0.00152904	0.00282032	0.0032153	0.0370626	0.00701757	0.0112458	0.025008	0.00400687	0.00443671	0.0101509	0.0177915	0.0101463	0.000169653	0.00776762	0.00742599	0.0265565	0.0248516	0.059989	0.0439299	0.035331	0.0129757	0.00394945	0.00841233	0.00676384	0.00232139	0.0109201	0.0119927	0.0128823	0.0045259	0.00620661	0.0092299	0.00168656	0.00251747	0.00991175	0.0310505	0.00454992	0.00940952	0.0544235	0.00958757	0.144872	0.0238138	8.52085e-06	0.0269066	0.01497	0.0227744	0.101521	0.0109698	0.0391509	0.0123137	0.0216108	0.00567682	0.507558	1.08408	1.029344	0.9706561	0.0610306	0.255687	0.653455	1.53033	3.91103	16.3852	2.021975	0.9429852	0.07993554	0.000185256	0.0240948	0.00184859	0.0105772	0.00501529	0.00903497	0.0019296	0.00482192	0.0289158	0.00630418	0.000659326	0.00317877	0.0142409	0.0120676	0.00335964	0.0533126	0.00673419	0.00820947	0.00730669	0.00756872	0.00919256	0.00772814	0.00233189	0.00171267	0.00171947	0.017807	0.0105226	0.0019051	0.0097734	0.0055862	0.0271462	0.0103443	0.00280276	0.00942587	0.0117003	0.00940496	0.0262165	0.00416859	0.000543859	0.000890803	0.000968525	0.00178645	0.00203664	0.0234762	0.00444507	0.00712333	0.0158405	0.00253803	0.0028103	0.00642976	0.0112695	0.00642687	0.000107462	0.00492016	0.00470377	0.0168214	0.0157415	0.0379982	0.0278261	0.0223794	0.00821909	0.00250166	0.00532854	0.00428435	0.00147042	0.00691699	0.00759644	0.00815991	0.0028668	0.00393139	0.0058464	0.0010683	0.00159461	0.0062783	0.019668	0.00288201	0.00596018	0.0344729	0.00607296	0.0917648	0.0150841	5.39728e-06	0.0170432	0.0094823	0.0144258	0.0643055	0.00694846	0.0247989	0.00779976	0.0136887	0.00359581	0.485328	0.514672	1.578731
72	-436.0429	-592.3805	156.3376	0.000468565	0.013773	0.00304071	0.00778218	0.000238235	0.00666269	0.0128705	0.00364271	0.00942362	0.00575333	0.00337497	0.00328424	0.00912814	0.0111862	0.0067485	0.002851	0.00188799	0.00777898	0.00592017	0.00144204	0.010444	0.00246195	0.00177003	0.0140502	0.0012957	0.0247328	0.00337539	0.00591916	0.00732497	0.00120793	0.00272774	0.0034053	0.000949926	0.00313892	0.0020102	0.00141596	0.00739978	0.0039144	0.00126363	0.00183694	0.000420608	0.0143382	0.00921704	0.0029287	0.012755	0.0187683	0.0240463	0.0157952	0.00180319	0.00450323	0.0068345	0.00783897	3.62281e-05	0.00899708	0.00345973	0.0171842	0.00172713	0.0315829	0.0017895	0.00732675	0.00152758	0.0158522	0.0209138	9.13727e-05	0.0029889	0.0161818	0.00917806	0.00599034	0.00291803	0.00317396	0.010309	0.00405943	0.00560392	0.00875969	0.00982724	0.0032121	0.012373	0.0029545	0.00422125	0.043032	0.0165478	6.87091e-06	0.00876222	0.000716517	0.00186735	0.032375	0.00733961	0.0281573	0.00140812	0.017796	0.000228293	0.93058	1.01185	1.115481	0.8845193	0.0605939	0.254793	0.652742	1.532	3.92475	16.5033	2.027167	0.7929491	0.1570185	0.000662162	0.0194636	0.00429704	0.0109975	0.000336666	0.00941551	0.0181882	0.00514776	0.0133172	0.00813044	0.00476941	0.00464119	0.0128996	0.015808	0.00953678	0.00402895	0.00266806	0.010993	0.00836621	0.00203785	0.0147592	0.00347916	0.00250135	0.0198553	0.00183105	0.0349517	0.00477	0.00836478	0.0103514	0.00170701	0.00385475	0.00481227	0.00134241	0.00443583	0.00284076	0.00200099	0.0104571	0.00553171	0.00178572	0.00259591	0.000594391	0.0202623	0.0130252	0.00413876	0.0180249	0.0265229	0.0339815	0.0223214	0.00254822	0.00636383	0.00965832	0.0110778	5.11965e-05	0.0127144	0.00488919	0.0242841	0.00244073	0.044632	0.00252887	0.0103539	0.00215873	0.0224019	0.0295547	0.000129125	0.00422383	0.0228676	0.0129702	0.00846537	0.00412368	0.00448535	0.0145684	0.00573667	0.00791929	0.0123789	0.0138876	0.00453925	0.0174851	0.00417521	0.00596535	0.0608115	0.0233849	9.70977e-06	0.0123825	0.00101256	0.00263888	0.0457514	0.0103721	0.0397911	0.00198991	0.0251487	0.000322617	0.44226	0.55774	0.7076288
108	-432.8939	-587.8277	154.9339	0.00110817	0.0143861	0.00708508	0.00193642	0.000456503	0.00307308	0.00232409	0.0187245	0.014216	0.00316043	0.00279816	0.00898271	0.00571356	0.00701723	0.00352676	0.00887914	0.0018677	0.00115502	0.00944885	0.00441532	0.00427981	0.00245917	0.00160712	0.00350705	0.00279825	0.0025345	0.00206187	0.00155144	0.00138975	0.00612284	0.00358775	0.000280601	0.000323063	0.00235188	0.000759666	0.00359547	0.00395319	0.0103334	0.00201939	0.000531157	0.00989263	0.0038485	0.0018547	0.00147555	0.00528905	0.00551646	0.0174647	0.00846461	0.0017012	0.00693153	0.00289947	0.00311798	0.00255648	0.000449363	0.00920721	0.0175573	0.00970362	0.0256098	0.00655751	0.00359047	0.00160931	0.00495332	0.000864254	0.000406663	0.000636891	0.00695591	0.00648643	0.000947893	0.00328082	0.00207606	0.00169434	0.00084787	0.00437884	0.00506572	0.00949635	0.00367627	0.000992667	0.00135144	0.000660663	0.034742	0.00265408	1.75446e-05	0.00108541	0.013152	0.00420742	0.0218561	0.00280958	0.0205963	0.0017489	0.0108482	0.00099789	1.01093	0.998133	0.6484013	1.351599	0.0352689	0.195686	0.601145	1.66349	5.11024	28.3536	2.418488	2.08451	0.1729213	0.00225647	0.0292932	0.0144267	0.00394296	0.000929537	0.00625745	0.00473235	0.038127	0.0289468	0.0064353	0.00569766	0.0182907	0.011634	0.0142886	0.00718124	0.0180798	0.00380303	0.00235188	0.0192399	0.00899054	0.00871461	0.00500739	0.00327243	0.00714111	0.00569784	0.00516078	0.00419841	0.00315907	0.00282984	0.0124674	0.00730543	0.000571364	0.000657826	0.00478894	0.00154684	0.00732116	0.00804955	0.021041	0.00411191	0.00108155	0.0201435	0.00783637	0.00377657	0.00300453	0.0107696	0.0112327	0.0355618	0.0172358	0.00346402	0.0141141	0.00590393	0.00634888	0.00520554	0.000914998	0.0187479	0.0357504	0.0197587	0.052147	0.0133525	0.00731097	0.0032769	0.010086	0.00175981	0.000828053	0.00129685	0.0141637	0.0132078	0.00193011	0.00668045	0.0042273	0.00345005	0.00172644	0.00891625	0.0103149	0.0193366	0.00748568	0.00202128	0.00275182	0.00134525	0.0707422	0.00540428	3.57246e-05	0.00221013	0.0267803	0.00856721	0.0445037	0.0057209	0.0419385	0.00356113	0.0220893	0.00203192	0.675799	0.324201	0.4911074
144	-444.0781	-599.0746	154.9965	0.00258662	0.0425987	0.0181605	0.0207158	0.00216767	0.00773607	0.00961946	0.00981642	0.0170834	0.00702583	0.00346473	0.0229518	0.0214624	0.011837	0.0108756	0.0174948	0.00966927	0.0117156	0.0111831	0.0655444	0.00852658	0.0136447	0.00443442	0.0635496	0.0157837	0.0087941	0.00224318	0.00690351	0.00518315	0.0126895	0.0158072	0.0311452	0.00241585	0.0316802	0.000490307	0.00961403	0.000811782	0.0236066	0.000524987	0.000944065	0.0153521	0.00162866	0.00435367	0.0392146	0.017298	0.0223212	0.0642204	0.0376339	0.00395198	0.145303	0.0150311	0.00592139	0.0282209	0.00807682	0.017657	0.0617514	0.0315685	0.0115724	0.0484893	0.0217909	0.00614098	0.0147066	5.37697e-05	0.0181966	0.0112618	0.00573186	0.0189002	0.00169725	0.00242562	0.00193277	0.0130084	0.000616369	0.0167634	0.0285818	0.021195	0.0194183	0.0176364	0.00427644	0.00411364	0.102494	0.000189438	0.0142499	0.0345187	0.0300853	0.0374012	0.0776727	0.0150381	0.0659957	0.00070233	0.0288436	0.00688565	0.635495	1.06223	0.9395027	1.060497	0.0655694	0.26479	0.660627	1.51371	3.77657	15.251	1.970107	1.128786	0.1021426	0.00143335	0.0236057	0.0100635	0.0114795	0.0012012	0.00428688	0.00533055	0.00543969	0.00946665	0.00389331	0.00191995	0.0127185	0.0118932	0.00655939	0.00602662	0.0096946	0.00535815	0.0064921	0.00619701	0.0363209	0.00472493	0.00756112	0.0024573	0.0352155	0.00874641	0.00487318	0.00124304	0.00382552	0.0028722	0.0070318	0.00875944	0.0172589	0.00133872	0.0175553	0.0002717	0.00532754	0.000449842	0.0130814	0.000290917	0.000523146	0.00850724	0.000902509	0.00241255	0.0217304	0.00958556	0.0123691	0.0355872	0.0208545	0.00218996	0.0805183	0.00832938	0.00328129	0.0156384	0.0044757	0.00978451	0.034219	0.0174934	0.00641273	0.0268699	0.0120753	0.00340297	0.00814955	2.9796e-05	0.0100835	0.00624065	0.00317626	0.0104734	0.000940518	0.00134414	0.00107103	0.0072085	0.000341556	0.00928929	0.0158384	0.0117451	0.0107605	0.00977304	0.00236975	0.00227954	0.056796	0.000104975	0.00789644	0.0191282	0.0166715	0.0207256	0.0430417	0.00833323	0.036571	0.00038919	0.0159834	0.00381563	0.530249	0.469751	1.804593
180	-451.3645	-606.9289	155.5644	0.00360529	0.016952	0.00648136	0.00884298	0.00376353	0.00280137	0.000698032	7.58193e-05	0.00676612	0.000712512	0.00811548	0.0119641	0.00590647	0.00304121	0.0197684	0.00956329	0.025208	0.0217728	0.0148308	0.0230829	0.0074662	0.0119494	0.00293283	0.00421018	0.00122943	0.0157557	0.0103934	0.0170916	0.00229772	0.0145855	0.00718024	0.00340141	0.000842863	0.0259021	0.0134888	0.0147565	0.000440591	0.00524844	0.0027472	0.00949447	0.020638	0.00288014	0.0102875	0.00642356	0.0174487	0.0153424	0.0723133	0.00731284	0.00732941	0.00341295	0.00957361	0.0149358	0.0408576	0.000729021	0.0501464	0.0889283	0.0230915	0.00811315	0.0187966	0.00499497	0.00827568	0.00820058	1.74132e-06	0.0819335	0.000265612	0.00546979	0.00235081	0.00088501	0.000797831	0.00438624	0.0802583	0.00380386	0.0215508	0.0263645	0.0135065	0.0428212	0.0273876	0.0316772	0.0105475	0.00158282	0.00146585	0.000468566	0.0320898	0.0150232	0.00599798	0.0269718	0.00240977	0.00491889	0.00753577	0.00758124	0.0142949	0.244274	1.12903	0.6385985	1.361401	0.0939128	0.315497	0.697743	1.43319	3.1696	10.6482	1.710339	2.131858	0.0369392	0.00281719	0.0132463	0.00506456	0.00690994	0.00294084	0.002189	0.000545445	5.92455e-05	0.00528707	0.000556759	0.00634147	0.00934883	0.00461534	0.00237641	0.0154471	0.00747279	0.0196976	0.0170133	0.0115889	0.0180371	0.00583412	0.00933734	0.00229172	0.00328985	0.000960683	0.0123115	0.00812143	0.0133554	0.00179545	0.0113971	0.00561067	0.00265788	0.000658617	0.02024	0.0105402	0.0115308	0.00034428	0.00410115	0.00214667	0.00741902	0.0161266	0.00225055	0.00803872	0.0050194	0.0136345	0.0119886	0.0565059	0.00571428	0.00572723	0.00266689	0.00748086	0.0116709	0.0319263	0.00056966	0.0391846	0.0694889	0.0180438	0.00633965	0.0146878	0.00390309	0.00646665	0.00640797	1.36067e-06	0.0640232	0.00020755	0.00427412	0.00183693	0.00069155	0.000623428	0.00342743	0.0627141	0.00297235	0.0168399	0.0206013	0.010554	0.0334607	0.0214008	0.0247527	0.00824188	0.00123682	0.00114542	0.000366139	0.0250751	0.0117392	0.00468685	0.0210759	0.001883	0.00384364	0.00588849	0.00592401	0.0111701	0.680701	0.319299	1.279748
216	-427.6737	-582.2051	154.5314	0.00316745	0.0263859	1.20301e-05	0.00610919	0.00077016	0.000229652	0.00383991	0.00231645	0.00602721	0.00088606	0.00330511	0.000980802	0.00723785	0.00500215	0.00574876	0.0116789	0.00234343	0.0119895	0.00704722	0.00767919	0.00626729	0.00372286	0.00439271	0.00121711	0.00201429	0.0164532	0.00333605	0.00117979	4.3467e-05	0.0126265	0.00129412	0.00188344	0.00159053	0.0110705	0.00165152	0.0135778	0.00456681	0.00878721	0.00488932	0.00241366	0.00690179	0.00376543	0.00731139	0.00569464	0.00280512	0.00768599	0.0288327	0.000603733	0.00111294	0.00757971	0.0151401	0.00654256	0.0154417	0.00215622	0.00901108	0.059243	0.00785948	0.00439085	0.00556371	0.00207963	0.000994935	0.010397	1.35671e-07	0.0027404	0.00388293	0.0084811	0.00453504	0.0020227	0.00230614	0.0011736	0.0359341	0.00311753	0.00362146	0.0140988	0.00183313	0.00787721	0.00326131	0.0072994	0.00235866	0.000306923	0.000812664	0.00157397	0.0107957	0.00115049	0.000371623	0.00318218	0.00987185	0.00351645	0.0107441	0.00224922	0.00261674	0.183666	1.13937	0.2927104	1.70729	0.0571844	0.247697	0.647015	1.54556	4.03719	17.4873	2.069043	5.832691	0.02752182	0.00547448	0.0456043	2.07922e-05	0.0105589	0.00133111	0.000396921	0.00663674	0.00400365	0.0104172	0.00153143	0.00571241	0.00169518	0.0125096	0.0086455	0.00993591	0.0201854	0.00405028	0.0207221	0.0121801	0.0132724	0.0108321	0.00643443	0.00759216	0.00210359	0.00348142	0.028437	0.00576589	0.0020391	7.51265e-05	0.0218232	0.00223671	0.00325526	0.00274901	0.0191337	0.00285442	0.0234672	0.00789308	0.0151874	0.0084505	0.00417167	0.0119288	0.006508	0.0126367	0.00984237	0.00484826	0.0132841	0.0498332	0.00104347	0.00192356	0.0131004	0.0261674	0.0113079	0.0266887	0.00372672	0.0155744	0.102393	0.013584	0.00758896	0.00961608	0.00359435	0.0017196	0.0179697	2.34488e-07	0.00473639	0.00671109	0.0146584	0.00783816	0.00349595	0.00398582	0.0020284	0.0621069	0.0053882	0.00625917	0.0243677	0.00316831	0.0136146	0.0056367	0.012616	0.00407661	0.000530472	0.00140457	0.00272038	0.0186588	0.00198846	0.000642297	0.00549994	0.0170621	0.00607768	0.0185696	0.00388745	0.00452267	0.853645	0.146355	0.5785842
252	-447.5373	-601.5425	154.0052	0.000876124	0.0180812	2.52208e-05	0.00490455	0.00305691	0.000608681	0.00105652	0.000907184	0.0101135	0.00160568	0.00257251	0.00592839	0.00325253	0.00258019	0.00232044	0.00777052	0.00271134	0.000636276	0.012517	0.0150434	0.00710193	0.00248071	0.000809239	0.0122245	0.0202616	0.00454995	0.00100177	0.00218517	0.000418767	0.00306004	0.0323237	0.00735505	0.00060879	0.00091529	0.00213617	0.00646922	0.00102908	0.00511641	0.000380709	0.000210127	0.00577283	0.00278565	0.000793345	0.00286173	0.0120401	0.0120652	0.012676	0.00029293	0.0132757	0.00456043	0.0120432	0.00386939	0.00832683	0.000145865	0.01239	0.068154	0.012657	0.00181157	0.00277059	0.00443102	0.000390127	0.0199737	1.55402e-06	0.00123043	0.00571186	0.0127573	0.00114355	0.00105886	0.00584356	0.00217615	0.0135586	0.00278754	0.00501397	0.0151966	0.000614459	0.00287843	0.00925133	0.00141553	0.00792102	0.00227075	0.00151283	0.0053694	0.00235462	0.00405058	0.00582883	0.00229321	0.0158018	0.00285628	0.0046849	0.0110653	0.0072011	0.197832	1.13696	0.2553745	1.744625	0.0384131	0.204008	0.609007	1.64202	4.90177	26.0328	2.356739	6.831635	0.02970753	0.00152331	0.0314377	4.38512e-05	0.00852752	0.00531503	0.00105831	0.00183697	0.00157732	0.0175843	0.0027918	0.00447281	0.0103077	0.00565516	0.00448616	0.00403454	0.0135106	0.00471419	0.00110629	0.0217633	0.026156	0.0123481	0.0043132	0.00140702	0.0212547	0.0352288	0.00791098	0.00174177	0.00379934	0.000728107	0.00532048	0.056201	0.0127882	0.0010585	0.00159141	0.00371414	0.011248	0.00178926	0.00889587	0.000661937	0.000365347	0.0100372	0.0048434	0.00137939	0.00497568	0.0209341	0.0209777	0.0220397	0.000509317	0.0230825	0.0079292	0.0209394	0.00672769	0.0144778	0.000253614	0.0215425	0.118499	0.0220066	0.00314976	0.00481722	0.00770419	0.000678312	0.0347281	2.70196e-06	0.00213935	0.00993119	0.0221811	0.00198828	0.00184104	0.0101602	0.00378365	0.0235742	0.00484669	0.00871776	0.0264223	0.00106836	0.0050047	0.0160852	0.00246117	0.0137722	0.00394813	0.00263035	0.00933575	0.00409397	0.00704272	0.0101346	0.0039872	0.0274744	0.0049662	0.00814562	0.0192392	0.0125205	0.872313	0.127687	0.5751441
288	-443.8203	-597.4796	153.6593	0.00326779	0.0696126	0.000626271	0.00365236	0.000507949	0.00579663	0.00231779	0.00987356	0.0199763	0.00615482	0.00138943	0.00311856	0.0260443	0.000323821	0.0127098	0.0302975	0.00852047	0.00591536	0.00525506	0.011731	0.00229179	0.00325205	0.00816129	0.0279068	0.00946623	0.0172701	0.00738416	0.00042767	0.00229644	0.00241319	0.00161784	0.0234061	0.00421129	0.0195314	0.00246357	0.0214071	0.0181715	0.00100727	0.00280717	0.00266125	0.00118793	0.00214669	0.000719343	0.00300348	0.0105396	0.0123601	0.0307882	0.00158479	0.000383421	0.00537758	0.0150355	0.00165299	0.0161458	0.00376273	0.0460957	0.0733774	0.00643939	0.00803941	0.0149941	0.00239117	0.000754143	0.0222129	0.0062175	0.022629	0.00352895	0.000373715	0.00946016	0.00134434	0.00220234	0.00579753	0.042138	0.0359248	0.014948	0.0113267	0.00892549	0.00279196	0.0044403	0.000174587	0.00822432	0.0352994	0.00351872	0.010663	0.0141632	0.0077747	0.00428777	0.00751501	0.00855309	0.00797003	0.00715692	0.0111702	0.00347618	0.171406	1.14147	0.1950712	1.804929	0.0652007	0.264063	0.66006	1.51501	3.78697	15.3373	1.974184	9.252669	0.02563753	0.00331341	0.0705843	0.000635013	0.00370334	0.000515039	0.00587754	0.00235014	0.0100114	0.0202552	0.00624073	0.00140882	0.00316209	0.0264078	0.000328341	0.0128872	0.0307204	0.00863941	0.00599793	0.00532841	0.0118948	0.00232378	0.00329744	0.00827521	0.0282964	0.00959837	0.0175112	0.00748723	0.000433639	0.0023285	0.00244688	0.00164042	0.0237328	0.00427007	0.019804	0.00249796	0.0217059	0.0184252	0.00102133	0.00284636	0.00269839	0.00120451	0.00217665	0.000729384	0.00304541	0.0106867	0.0125326	0.0312179	0.00160691	0.000388773	0.00545264	0.0152454	0.00167606	0.0163711	0.00381525	0.0467391	0.0744016	0.00652927	0.00815163	0.0152034	0.00242455	0.00076467	0.0225229	0.00630428	0.0229449	0.00357821	0.000378931	0.00959221	0.0013631	0.00223308	0.00587846	0.0427262	0.0364262	0.0151567	0.0114848	0.00905007	0.00283093	0.00450228	0.000177024	0.00833912	0.0357921	0.00356784	0.0108118	0.0143609	0.00788322	0.00434762	0.00761991	0.00867248	0.00808127	0.00725682	0.0113261	0.0035247	0.902464	0.0975356	0.9862338
324	-441.5762	-594.3329	152.7567	0.00132435	0.0192403	0.000168984	0.0033103	3.87608e-05	0.000462536	0.00112958	0.00577659	0.00574953	0.00711755	0.000211359	0.00136779	0.00529739	0.00197374	0.00860158	0.0116177	0.00394351	0.00658294	0.0106274	0.00212565	0.00506926	0.000802432	0.000957818	0.00161149	0.00233085	0.00267372	0.00356501	0.00258036	0.00422233	0.00729989	0.000601403	0.000860965	6.91268e-05	0.00532591	0.0101602	0.0036988	0.00270279	0.00214547	0.000792958	0.000133214	0.000488101	0.0015034	0.00253901	0.00313914	0.00576427	0.00466105	0.00967046	0.00252888	4.351e-05	0.00744836	0.00638836	0.00182469	0.00139161	0.0052266	0.0215708	0.0361477	0.0372807	0.000536027	0.00650407	0.00310843	0.00213663	0.00358329	0.000226349	0.00463816	0.00342422	0.00540549	0.000523035	0.00256708	0.00204205	0.000667604	0.0176444	0.0154628	0.00288504	0.00261172	0.00143841	8.83499e-05	0.00243734	0.00180687	0.00394454	0.00482537	0.000974134	0.00406801	0.00364446	0.00341786	0.00385075	0.0134066	0.00935733	0.00299624	0.00116918	0.00107273	0.000130477	0.14321	1.14628	0.1381745	1.861825	0.0286337	0.176773	0.582381	1.71709	5.65698	34.9238	2.569186	13.47445	0.02133025	0.00304811	0.0442833	0.000388931	0.00761893	8.92112e-05	0.00106457	0.00259982	0.0132953	0.013233	0.0163816	0.00048646	0.00314808	0.0121924	0.00454273	0.0197973	0.0267391	0.00907632	0.0151512	0.0244599	0.00489235	0.0116673	0.00184687	0.0022045	0.00370897	0.00536464	0.00615379	0.00820518	0.00593893	0.00971805	0.0168013	0.00138418	0.00198158	0.000159101	0.012258	0.0233845	0.00851309	0.0062207	0.00493799	0.00182506	0.000306602	0.00112341	0.0034602	0.00584376	0.007225	0.013267	0.0107278	0.0222574	0.00582043	0.000100142	0.017143	0.0147034	0.00419968	0.00320291	0.0120295	0.0496471	0.0831971	0.0858047	0.00123371	0.0149697	0.00715431	0.00491763	0.00824725	0.000520962	0.0106751	0.00788114	0.0124412	0.00120381	0.00590836	0.00469995	0.00153655	0.04061	0.0355889	0.00664016	0.00601109	0.00331063	0.000203345	0.00560974	0.00415867	0.0090787	0.011106	0.00224205	0.00936287	0.00838804	0.0078665	0.00886283	0.0308564	0.0215367	0.00689611	0.00269096	0.00246898	0.000300305	0.930913	0.0690873	0.4344832
